City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Avarua,-21.2078,-159.775,84.2,65,1,4.61,CK,1613192314
Leningradskiy,69.3833,178.4167,-19.89,84,100,5.73,RU,1613192315
Ponta Delgada,37.7333,-25.6667,60.01,94,20,20.71,PT,1613192315
Hithadhoo,-0.6,73.0833,82.58,74,85,11.9,MV,1613192315
Qaanaaq,77.484,-69.3632,-2.67,70,0,5.73,GL,1613192315
Hay River,60.8156,-115.7999,-20.2,76,4,2.3,CA,1613192315
Yellowknife,62.456,-114.3525,-18.0,76,20,4.61,CA,1613192167
Maceió,-9.6658,-35.7353,75.2,94,75,3.44,BR,1613192022
Vangaindrano,-23.35,47.6,77.72,86,90,0.34,MG,1613192316
Ushuaia,-54.8,-68.3,55.4,47,75,11.5,AR,1613192317
Canlaon,10.3864,123.1964,80.28,75,28,3.49,PH,1613192317
Gopālpur,19.2667,84.9167,80.82,41,0,6.31,IN,1613192317
Punta Arenas,-53.15,-70.9167,53.6,62,90,11.5,CL,1613192317
Nome,64.5011,-165.4064,30.2,69,90,21.85,US,1613192318
Guerrero Negro,27.9769,-114.0611,59.45,84,18,17.45,MX,1613192318
Bontang,0.1333,117.5,82.81,76,80,4.7,ID,1613192318
San Luis,-33.295,-66.3356,68.22,49,18,5.64,AR,1613192173
St. George's,12.0564,-61.7485,78.8,78,20,25.32,GD,1613192318
Hilo,19.7297,-155.09,75.2,69,20,4.61,US,1613192319
Vaini,-21.2,-175.2,86.0,74,75,8.05,TO,1613192319
Lebu,-37.6167,-73.65,57.27,85,0,14.65,CL,1613192319
New Norfolk,-42.7826,147.0587,66.99,40,85,1.99,AU,1613192319
Qaryat Sulūq,31.6682,20.2521,51.13,79,0,4.65,LY,1613192320
Arraial do Cabo,-22.9661,-42.0278,75.58,88,100,13.91,BR,1613192320
Saskylakh,71.9167,114.0833,-26.32,81,86,1.68,RU,1613192320
Malakal,9.5334,31.6605,72.39,27,45,4.21,SS,1613192320
Bāli Chak,22.3667,87.55,83.3,34,41,3.29,IN,1613192320
Trat,12.5,102.5,90.0,48,20,1.14,TH,1613192321
Bereda,43.2686,-7.5406,48.99,88,100,10.0,ES,1613192142
Mitsamiouli,-11.3847,43.2844,82.6,79,99,13.8,KM,1613192043
Barrow,71.2906,-156.7887,-9.4,70,90,3.96,US,1613192321
Semnan,35.5729,53.3971,50.49,43,0,1.3,IR,1613192322
San Francisco,37.7749,-122.4194,54.0,82,75,21.85,US,1613191967
Rosetta,31.4044,30.4164,57.34,72,0,4.7,EG,1613192322
Airai,-8.9266,125.4092,71.13,96,89,2.59,TL,1613192322
Hermanus,-34.4187,19.2345,73.0,79,0,7.0,ZA,1613192050
Avera,33.194,-82.5271,41.0,93,90,6.91,US,1613192323
Saldanha,-33.0117,17.9442,62.6,88,0,2.3,ZA,1613192315
Aklavik,68.2191,-135.0107,-0.4,78,91,3.44,CA,1613192324
Codrington,-38.2667,141.9667,65.88,56,0,12.26,AU,1613192324
Butaritari,3.0707,172.7902,81.57,82,0,11.23,KI,1613192324
Port Elizabeth,-33.918,25.5701,73.4,100,90,8.05,ZA,1613192324
Ulagan,50.6321,87.9563,9.66,82,55,1.19,RU,1613192325
Barra Patuca,15.8,-84.2833,75.2,80,0,10.4,HN,1613192325
Paamiut,61.994,-49.6678,23.94,92,95,20.83,GL,1613192325
Vila,42.0304,-8.1588,44.01,94,100,1.99,PT,1613192325
El Ocotito,17.25,-99.5667,63.05,87,0,3.4,MX,1613192326
Dalian,38.9122,121.6022,44.6,76,0,6.71,CN,1613192326
Constitución,-35.3333,-72.4167,57.56,89,53,4.85,CL,1613192326
San Patricio,28.017,-97.5169,35.6,93,90,11.5,US,1613192326
Mount Isa,-20.7333,139.5,98.6,32,94,8.05,AU,1613192326
Picayune,30.5255,-89.6795,43.0,96,100,8.23,US,1613192327
Roebourne,-20.7833,117.1333,87.01,51,35,13.38,AU,1613192327
Merrill,45.1805,-89.6835,-5.8,59,1,5.68,US,1613192327
Biak,-0.9131,122.8766,76.69,86,100,5.77,ID,1613192327
Narsaq,60.9167,-46.05,42.8,31,75,34.52,GL,1613192327
Kasama,-10.2129,31.1808,62.53,99,100,1.74,ZM,1613192328
Marsá Maţrūḩ,31.3525,27.2453,51.8,82,40,6.91,EG,1613192328
Ulaanbaatar,47.9077,106.8832,-0.4,60,75,2.24,MN,1613192111
Puerto Escondido,15.85,-97.0667,77.0,88,1,3.44,MX,1613192238
Dubinino,55.6192,89.0911,-7.67,87,98,1.3,RU,1613192329
Castro,-24.7911,-50.0119,59.41,94,49,1.68,BR,1613192329
Nagato,34.3833,131.2,59.0,76,75,9.22,JP,1613192329
Chokurdakh,70.6333,147.9167,-22.27,73,0,3.56,RU,1613192329
Puerto Ayora,-0.7393,-90.3518,75.99,95,95,8.5,EC,1613192330
Cabo San Lucas,22.8909,-109.9124,62.01,88,1,12.66,MX,1613192330
Victoria Point,-27.5833,153.3,84.99,56,51,4.0,AU,1613192330
Sola,-13.8833,167.55,80.85,81,100,9.24,VU,1613192331
Katherine,-14.4667,132.2667,84.2,84,75,6.91,AU,1613192331
Erenhot,43.6475,111.9767,14.95,89,15,8.84,CN,1613192331
Ust-Nera,64.5667,143.2,1.8,85,82,1.59,RU,1613192331
Lagoa,39.05,-27.9833,59.79,79,100,34.9,PT,1613192331
Manokwari,-0.8667,134.0833,83.05,78,87,7.0,ID,1613192332
Abu Samrah,35.3029,37.1841,48.54,82,36,4.97,SY,1613192332
Gorontalo,0.5412,123.0595,78.67,87,100,4.23,ID,1613192095
Kavieng,-2.5744,150.7967,84.2,76,59,10.04,PG,1613192333
Csanádpalota,46.25,20.7333,16.0,86,20,5.75,HU,1613192333
São João da Barra,-21.6403,-41.0511,76.44,86,100,14.65,BR,1613192333
Bowen,-20.0167,148.2333,91.4,29,91,8.05,AU,1613192333
Laguna,38.421,-121.4238,55.0,82,1,5.75,US,1613192333
Yuanping,38.7153,112.7575,49.51,43,100,1.52,CN,1613192334
Souillac,-20.5167,57.5167,82.4,69,75,13.8,MU,1613192334
Kokoda,-8.8785,147.7407,83.59,67,74,0.16,PG,1613192334
Tabora,-5.0167,32.8,66.2,100,75,1.19,TZ,1613192334
Isangel,-19.55,169.2667,82.4,83,75,9.53,VU,1613192335
Jamestown,42.097,-79.2353,14.0,79,1,5.75,US,1613192335
Motygino,58.1831,94.7592,-11.88,87,100,6.24,RU,1613192335
Provideniya,64.3833,-173.3,1.92,91,100,27.67,RU,1613192335
Kidal,18.4411,1.4078,67.95,20,0,11.05,ML,1613192336
Sergeevka,53.88,67.4158,15.37,97,88,4.12,KZ,1613192336
Santa Vitória do Palmar,-33.5189,-53.3681,69.12,92,100,4.32,BR,1613192336
Henties Bay,-22.116,14.2845,70.0,89,46,4.0,NA,1613192336
Emporia,38.4039,-96.1817,1.4,78,75,14.97,US,1613192336
Saint-Philippe,-21.3585,55.7679,86.0,61,0,25.32,RE,1613192337
Vostok,46.4856,135.8833,28.9,96,100,3.91,RU,1613192337
Chaiya,9.3862,99.1986,89.6,55,20,9.22,TH,1613192337
Sensuntepeque,13.8667,-88.6333,71.6,94,0,2.3,SV,1613192337
Samaná,19.2056,-69.3369,73.24,84,40,7.83,DO,1613192338
Yar-Sale,66.8333,70.8333,-19.32,87,99,4.12,RU,1613192338
Auki,-8.7676,160.7034,80.78,84,99,11.43,SB,1613192338
Port Blair,11.6667,92.75,82.8,66,48,13.94,IN,1613192338
Aksarka,66.5606,67.7975,-19.71,87,100,3.78,RU,1613192338
Severo-Kuril'sk,50.6789,156.125,28.58,94,100,9.46,RU,1613192339
Gornopravdinsk,60.05,69.9,-4.04,91,100,7.16,RU,1613192339
Kupang,-10.1667,123.5833,82.4,89,75,9.22,ID,1613192339
Songjianghe,42.1859,127.479,42.26,66,95,7.9,CN,1613192339
São Filipe,14.8961,-24.4956,72.75,60,0,17.11,CV,1613192340
Cidreira,-30.1811,-50.2056,74.26,82,97,15.99,BR,1613192340
Pundaguitan,6.3711,126.1689,81.12,77,100,0.94,PH,1613192340
Ondjiva,-17.0667,15.7333,62.92,84,91,5.61,AO,1613192340
Kaitangata,-46.2817,169.8464,64.0,75,86,5.99,NZ,1613192341
Beringovskiy,63.05,179.3167,-8.93,90,100,29.08,RU,1613192341
Ambilobe,-13.2,49.05,78.73,83,95,3.2,MG,1613192341
Puerto Madryn,-42.7692,-65.0385,70.86,70,93,21.72,AR,1613192341
Sitka,57.0531,-135.33,37.4,30,20,6.91,US,1613192228
Puerto El Triunfo,13.2833,-88.55,71.6,94,0,2.3,SV,1613192342
Hong Kong,22.2855,114.1577,73.0,64,74,12.06,HK,1613192331
Bredasdorp,-34.5322,20.0403,69.8,83,59,5.75,ZA,1613192343
Parabel',58.6978,81.4825,-13.34,88,100,6.04,RU,1613192343
Ilulissat,69.2167,-51.1,10.4,85,75,3.44,GL,1613192343
Kachīry,53.0675,76.1036,-5.13,91,10,10.58,KZ,1613192343
Bathsheba,13.2167,-59.5167,78.8,65,40,20.71,BB,1613192343
Nuuk,64.1835,-51.7216,19.4,86,90,13.8,GL,1613192344
Oistins,13.0667,-59.5333,78.8,65,40,20.71,BB,1613192344
Eirunepé,-6.6603,-69.8736,74.53,95,100,0.43,BR,1613192344
Rocha,-34.4833,-54.3333,67.55,95,100,5.84,UY,1613192345
Agüimes,27.9054,-15.4461,64.4,72,40,18.41,ES,1613192345
Severnyy,50.677,36.5532,8.6,78,75,11.18,RU,1613192345
Cumana,10.4635,-64.1775,75.42,81,8,12.37,VE,1613192346
Ouésso,1.6136,16.0517,73.81,72,64,1.01,CG,1613192346
Requena,39.4883,-1.1004,57.2,54,0,9.22,ES,1613192346
Ribeira Grande,38.5167,-28.7,60.87,78,100,29.95,PT,1613192346
Hambantota,6.1241,81.1185,84.2,79,40,3.44,LK,1613192346
Mgandu,-5.95,34.1333,62.92,90,97,1.95,TZ,1613192347
Pangnirtung,66.1451,-65.7125,-16.01,83,100,1.12,CA,1613192347
Røros,62.5747,11.3842,-13.0,77,42,2.3,NO,1613192347
Senador Pompeu,-5.5881,-39.3717,73.67,94,22,3.51,BR,1613192347
Esso,55.9333,158.7,4.78,78,0,1.74,RU,1613192348
Bilma,18.6853,12.9164,64.36,24,0,6.58,NE,1613192348
Zenzeli,45.9241,47.0474,38.64,72,100,25.01,RU,1613192348
Mt. Pleasant,32.7941,-79.8626,44.01,100,90,11.61,US,1613192335
Alice Springs,-23.7,133.8833,87.01,88,90,10.36,AU,1613192308
Atherton,53.5237,-2.4935,30.0,54,98,11.01,GB,1613192349
Old Town,50.087,14.4202,14.0,85,0,3.44,CZ,1613192349
Wum,6.3833,10.0667,62.98,28,62,1.21,CM,1613192350
Kyra,49.5776,111.9753,1.53,79,4,5.59,RU,1613192350
Smithers,54.7804,-127.1743,6.8,72,40,5.75,CA,1613192350
Praia da Vitória,38.7333,-27.0667,60.8,72,40,28.14,PT,1613192350
Mayumba,-3.432,10.6554,79.61,84,100,7.23,GA,1613192350
Grenville,12.1167,-61.6167,78.8,78,20,25.32,GD,1613192351
Gualaceo,-2.9,-78.7833,59.0,88,86,2.3,EC,1613192351
Shebunino,46.4339,141.8603,35.44,90,100,12.62,RU,1613192351
Puerto Ayacucho,5.6639,-67.6236,78.33,69,95,3.56,VE,1613192351
Dikson,73.5069,80.5464,-25.89,87,99,11.81,RU,1613192352
Harper,4.375,-7.7169,78.98,89,0,6.64,LR,1613192352
Gravdal,68.1214,13.5031,28.83,93,99,9.01,NO,1613192352
Okha,53.5739,142.9478,17.76,96,100,3.74,RU,1613192352
Alihe,50.5667,123.7167,12.99,84,3,11.23,CN,1613192353
Banyo,6.75,11.8167,61.45,29,0,2.48,CM,1613192353
Rockport,28.0206,-97.0544,37.4,87,90,11.5,US,1613192354
Pevek,69.7008,170.3133,-19.28,89,100,7.52,RU,1613192354
Krutinka,56.0055,71.5113,-5.53,91,98,10.31,RU,1613192354
Geraldton,-28.7667,114.6,89.6,45,40,21.85,AU,1613192354
‘Ewa Beach,21.3156,-158.0072,77.0,64,20,3.44,US,1613192355
Torbay,47.6666,-52.7314,30.0,86,90,24.16,CA,1613192355
Acaraú,-2.8856,-40.12,78.21,87,1,9.78,BR,1613192355
Linxia Chengguanzhen,35.6003,103.2064,41.43,64,31,2.68,CN,1613192355
Tura,25.5198,90.2201,80.11,31,0,3.04,IN,1613192356
Dingle,10.9995,122.6711,84.94,75,40,7.58,PH,1613192356
Faanui,-16.4833,-151.75,81.88,73,28,10.18,PF,1613192356
Margate,51.3813,1.3862,28.99,52,29,7.0,GB,1613192356
Broken Hill,-31.95,141.4333,78.8,27,0,17.27,AU,1613192299
Lompoc,34.6391,-120.4579,51.8,87,1,12.66,US,1613192357
Oranjemund,-28.55,16.4333,62.69,93,72,10.2,NA,1613192258
Solnechnyy,50.7214,136.6319,21.15,94,77,3.42,RU,1613192357
Verkhoyansk,67.5447,133.385,-10.17,86,0,1.28,RU,1613192358
Srednekolymsk,67.45,153.6833,-21.93,83,0,6.13,RU,1613192358
Pindiga,9.9833,10.9333,63.68,27,0,5.66,NG,1613192358
Qaqortoq,60.7167,-46.0333,42.8,31,75,34.52,GL,1613192358
Pryazha,61.6926,33.6216,-7.6,84,77,2.24,RU,1613192358
Kaabong,3.4836,34.1492,72.73,47,42,5.79,UG,1613192359
Kodinsk,58.6881,99.1844,-6.34,87,100,5.82,RU,1613192359
Talnakh,69.4865,88.3972,-20.58,85,100,2.53,RU,1613192359
Ati,13.2154,18.3353,65.95,24,0,7.49,TD,1613192359
Rincon,32.296,-81.2354,46.4,93,90,5.75,US,1613192360
Katsuura,35.1333,140.3,61.0,71,75,3.44,JP,1613192360
Nantucket,41.2835,-70.0995,24.8,68,90,4.61,US,1613192360
Madang,-5.2246,145.7966,82.02,84,100,6.2,PG,1613192360
Kentau,43.5206,68.5094,46.92,57,68,1.23,KZ,1613192360
Mandalgovi,45.7625,106.2708,10.09,80,100,10.18,MN,1613192361
Poum,-20.2333,164.0167,81.25,70,1,8.75,NC,1613192361
Mirny,62.5353,113.9611,-16.11,86,45,6.64,RU,1613192361
Yulara,-25.2406,130.9889,75.2,57,90,14.97,AU,1613192361
Pimentel,-6.8367,-79.9342,73.0,84,99,1.99,PE,1613192362
Bengkulu,-3.8004,102.2655,85.66,66,36,9.53,ID,1613192362
Esperance,-33.8667,121.9,80.6,41,1,11.5,AU,1613192302
Kayerkan,69.3497,87.7602,-22.76,85,98,3.4,RU,1613192362
Vila Franca do Campo,37.7167,-25.4333,60.01,94,20,20.71,PT,1613192362
Kenai,60.5544,-151.2583,21.0,67,1,3.44,US,1613192363
Arona,28.0996,-16.681,63.0,72,40,8.05,ES,1613192363
Jumla,29.2747,82.1838,58.55,27,18,3.76,NP,1613192363
Prince Rupert,54.3161,-130.3201,35.6,27,90,16.11,CA,1613192364
Khatanga,71.9667,102.5,-25.22,86,99,8.63,RU,1613192364
Bethel,41.3712,-73.414,28.4,36,90,3.44,US,1613192364
Mazyr,52.0495,29.2456,7.9,95,100,17.6,BY,1613192364
Hamilton,39.1834,-84.5333,25.0,74,90,10.36,US,1613192275
Mossamedes,-15.1961,12.1522,71.58,78,21,2.44,AO,1613192365
Asău,46.4333,26.4,15.01,43,0,7.58,RO,1613192365
Deniliquin,-35.5333,144.9667,80.01,36,0,5.99,AU,1613192365
Rocky Mountain House,52.3668,-114.9188,-4.0,77,97,3.44,CA,1613192365
Sioux Lookout,50.1001,-91.917,-22.0,69,90,3.44,CA,1613192248
Upernavik,72.7868,-56.1549,-3.19,82,0,7.99,GL,1613192366
Luanda,-8.8368,13.2343,78.8,83,75,3.44,AO,1613192289
Sampit,-2.5333,112.95,93.02,49,52,3.15,ID,1613192366
Clyde River,70.4692,-68.5914,-0.4,85,99,19.57,CA,1613192367
Vidim,56.4088,103.1106,-5.53,88,100,6.49,RU,1613192367
Taksimo,56.3444,114.8794,-1.77,78,100,5.12,RU,1613192367
Tegul'det,57.3064,88.1667,-14.6,87,100,5.7,RU,1613192368
Khovd,48.0056,91.6419,11.55,84,10,3.58,MN,1613192368
Vardø,70.3705,31.1107,19.6,93,48,11.83,NO,1613192368
Zasheyek,67.4066,32.5499,-6.05,91,55,3.13,RU,1613192368
San Jose,37.3394,-121.895,53.6,76,75,4.61,US,1613192132
Salinas,36.6777,-121.6555,53.6,82,90,3.58,US,1613192369
Necochea,-38.5473,-58.7368,66.99,94,90,3.0,AR,1613192369
Zaysan,47.4667,84.8667,11.66,94,69,1.72,KZ,1613192369
Te Anau,-45.4167,167.7167,65.66,42,64,7.96,NZ,1613192340
Ayan,56.45,138.1667,17.38,96,100,7.34,RU,1613192370
Murchison,-41.8,172.3333,72.03,39,100,4.83,NZ,1613192370
Kununurra,-15.7667,128.7333,95.0,55,57,10.36,AU,1613192305
Moyale,3.5167,39.0584,71.69,58,65,5.19,KE,1613192371
Glyadyanskoye,54.9075,65.0883,10.42,95,96,6.42,RU,1613192371
Bud,39.447,-86.1758,23.0,77,97,6.96,US,1613192371
Hofn,64.2539,-15.2082,39.4,82,100,18.61,IS,1613192371
Bella Union,-30.2752,-57.6007,69.62,75,1,5.55,UY,1613192372
Ambulu,-8.345,113.6058,83.82,73,38,6.13,ID,1613192372
Iqaluit,63.7506,-68.5145,-7.6,64,75,12.66,CA,1613192259
Kamaishi,39.2667,141.8833,42.8,61,0,3.44,JP,1613192373
Erzin,36.9559,36.2,53.01,94,33,8.99,TR,1613192373
El Salvador,13.8333,-88.9167,71.6,94,0,2.3,SV,1613192309
Rawson,-43.3002,-65.1023,71.22,67,1,21.59,AR,1613192122
Angoche,-16.2325,39.9086,78.82,83,100,13.27,MZ,1613192373
Kulhudhuffushi,6.6221,73.07,80.62,63,82,8.12,MV,1613192374
Dzhebariki-Khaya,62.2167,135.8,12.07,91,25,0.74,RU,1613192374
Sterling,39.0062,-77.4286,30.2,74,90,4.61,US,1613192267
Ahipara,-35.1667,173.1667,70.54,60,0,3.29,NZ,1613192374
Camacha,33.0833,-16.3333,55.4,76,0,3.44,PT,1613192375
Tari,12.4086,4.4914,67.62,22,0,8.81,NG,1613192375
Havre-St-Pierre,50.2334,-63.5986,17.6,62,90,8.05,CA,1613192375
Afşin,38.2477,36.914,34.05,89,66,1.99,TR,1613192376
Fortuna,40.5982,-124.1573,51.01,100,90,4.45,US,1613192147
Tumaco,1.7986,-78.8156,76.15,88,96,3.47,CO,1613192376
Namatanai,-3.6667,152.4333,84.02,74,80,7.25,PG,1613192241
Sinnamary,5.3833,-52.95,77.67,87,90,13.38,GF,1613192377
Butembo,0.15,29.2833,63.28,66,76,2.42,CD,1613192377
Nouadhibou,20.931,-17.0347,60.8,82,0,20.71,MR,1613192110
Flinders,-34.5833,150.8552,69.01,83,100,4.0,AU,1613192378
Coyhaique,-45.5752,-72.0662,53.6,66,0,2.3,CL,1613192378
Coracora,-15.0333,-73.7833,49.93,72,100,0.31,PE,1613192378
Sobolevo,54.4299,31.8996,8.87,95,100,21.12,RU,1613192378
Andreapol',56.6513,32.2664,6.87,85,100,16.62,RU,1613192379
Yabrūd,33.9674,36.6574,41.0,93,0,6.91,SY,1613192379
Kumul,42.8,93.45,43.02,55,0,3.65,CN,1613192379
Anloga,5.7947,0.8973,82.4,89,40,6.91,GH,1613192379
Gamba,-2.65,10.0,78.42,85,100,7.29,GA,1613192380
Kamina,-8.7386,24.9906,64.0,97,90,3.49,CD,1613192380
Vielsalm,50.2841,5.915,15.01,73,0,10.36,BE,1613192380
Taree,-31.9,152.4667,71.6,100,90,3.44,AU,1613192380
Tortolì,39.9256,9.6572,50.0,93,88,13.8,IT,1613192381
Oulu,65.0124,25.4682,5.0,85,0,4.61,FI,1613192381
Drovyanaya,51.5833,113.0333,3.2,43,9,13.42,RU,1613192381
Kimbe,-5.5502,150.1429,85.12,71,94,5.21,PG,1613192381
Mahajanga,-15.7167,46.3167,73.4,100,40,6.91,MG,1613192381
Salalah,17.0151,54.0924,69.8,35,0,3.44,OM,1613192382
Mitú,1.1983,-70.1733,73.06,95,70,0.31,CO,1613192382
Pangody,65.85,74.4859,-23.39,86,100,4.27,RU,1613192382
Viedma,-40.8135,-62.9967,69.01,84,100,11.41,AR,1613192382
Zhangjiakou,40.81,114.8794,45.18,47,100,2.39,CN,1613192383
Colares,38.7992,-9.4469,50.0,100,20,1.14,PT,1613192383
Tāybād,34.74,60.7756,53.8,41,0,2.3,IR,1613192383
Thaton,16.9206,97.3714,89.64,33,48,3.2,MM,1613192383
Broome,42.2506,-75.833,10.4,56,75,6.91,US,1613192383
Winsum,53.33,6.5208,18.0,83,0,7.65,NL,1613192384
Tiksi,71.6872,128.8694,-10.46,91,73,5.59,RU,1613192384
Bonanza,14.0289,-84.591,66.7,97,7,0.96,NI,1613192384
Chui,-33.6971,-53.4616,70.02,92,100,9.19,UY,1613192384
Elko,41.0002,-115.5012,39.99,75,90,5.75,US,1613192385
Mariental,-24.6333,17.9667,65.84,85,99,6.06,NA,1613192385
Ciudad Bolivar,8.1222,-63.5497,76.55,76,42,14.14,VE,1613192385
Samarai,-10.6167,150.6667,84.11,65,24,7.34,PG,1613192385
Eyl,7.9803,49.8164,73.92,69,68,13.2,SO,1613192386
Serov,59.6033,60.5787,-1.34,93,100,2.82,RU,1613192386
Tuy Hoa,13.0833,109.3,72.63,70,66,10.33,VN,1613192386
Poya,-21.35,165.15,81.7,70,28,5.64,NC,1613192386
Dudinka,69.4058,86.1778,-23.12,87,100,3.96,RU,1613192386
Baykit,61.67,96.37,-14.13,82,99,2.08,RU,1613192387
Fare,-16.7,-151.0167,82.02,72,10,10.6,PF,1613192387
Tondano,1.3038,124.9112,84.2,74,40,9.22,ID,1613192387
Ardakān,32.31,54.0175,46.4,31,0,2.3,IR,1613192387
Salinópolis,-0.6136,-47.3561,78.91,87,100,11.05,BR,1613192388
Puri,19.8,85.85,84.2,48,0,12.66,IN,1613192388
Omaruru,-21.4333,15.9333,63.97,86,99,5.1,NA,1613192388
Santa Helena de Goiás,-17.8136,-50.5969,68.16,95,100,3.98,BR,1613192388
Ponte Nova,-20.4164,-42.9086,68.72,93,100,2.01,BR,1613192388
Lokosovo,61.1333,74.8167,-13.56,88,100,4.12,RU,1613192389
Akdepe,42.0551,59.3788,33.8,80,0,9.22,TM,1613192389
Havøysund,70.9963,24.6622,24.8,68,75,9.22,NO,1613192389
Itarema,-2.9248,-39.9167,78.67,85,42,9.93,BR,1613192389
Dolinsk,47.35,142.8,33.8,86,75,6.71,RU,1613192390
Rosetown,51.5501,-108.0014,-23.8,69,0,4.61,CA,1613192390
Sur,22.5667,59.5289,74.88,48,0,4.45,OM,1613192390
Galesong,-5.3166,119.3661,82.4,89,40,8.05,ID,1613192390
Amahai,-3.3333,128.9167,88.21,58,100,6.69,ID,1613192390
Gainesville,29.6516,-82.3248,63.0,94,90,8.05,US,1613192142
Yeniseysk,58.4497,92.1703,-12.53,87,100,4.38,RU,1613192391
Dubbo,-32.25,148.6167,84.2,39,52,14.97,AU,1613192391
Dunedin,-45.8742,170.5036,64.0,74,72,8.99,NZ,1613192337
Champerico,14.3,-91.9167,64.0,93,14,8.95,GT,1613192391
Tsimmerbude,54.675,20.1347,30.99,80,40,11.18,RU,1613192392
Tomaszów Lubelski,50.4477,23.4162,10.0,84,72,16.96,PL,1613192392
Tshane,-24.0196,21.8684,69.17,74,62,9.62,BW,1613192392
Caravelas,-17.7125,-39.2481,74.43,88,96,4.97,BR,1613192094
Saint-Pierre,-21.3393,55.4781,86.0,61,0,25.32,RE,1613192393
Le Port,-20.9373,55.2919,77.0,88,75,14.97,RE,1613192298
Nabire,-3.3667,135.4833,87.58,67,62,6.46,ID,1613192393
Yerbogachën,61.2767,108.0108,-15.81,86,79,3.69,RU,1613192393
Mehamn,71.0357,27.8492,25.12,95,81,11.74,NO,1613192394
Huilong,31.8111,121.655,60.01,64,2,1.01,CN,1613192394
Nanortalik,60.1432,-45.2371,37.17,75,100,9.31,GL,1613192394
Sovetskiy,61.3614,63.5842,-7.8,91,100,2.98,RU,1613192394
Pangoa,-12.1167,-73.0,68.45,96,100,1.9,PE,1613192394
Egvekinot,66.3167,-179.1667,-18.4,87,100,20.83,RU,1613192395
Kieta,-6.2167,155.6333,81.55,82,100,12.28,PG,1613192395
Kruisfontein,-34.0033,24.7314,73.99,93,99,1.01,ZA,1613192395
